feature,importance
age,0.14991452991452991
bmi,0.01829059829059825
serum_creatinine,0.0037606837606837472
hba1c,0.002564102564102555
education_level,0.002051282051282044
waist_circumference,0.001538461538461533
smoking_status,0.001025641025641022
serum_uric_acid,0.001025641025641022
ldl_cholesterol,0.0006837606837606814
blood_urea_nitrogen,0.0
physical_activity_level,-0.00017094017094017034
gender,-0.0008547008547008517
serum_albumin,-0.0011965811965811922
wbc_count,-0.0023931623931623845
sedentary_minutes,-0.002564102564102555
