feature,importance
total_cholesterol,0.007856532877882173
age,0.005636208368915474
serum_albumin,0.003245089666951295
ldl_cholesterol,0.002561912894961571
alt_enzyme,0.0023911187019641346
ast_enzyme,0.0017079419299743659
alcohol_frequency,0.001195559350982056
hba1c,0.0010247651579846195
rdw,0.0008539709649872052
serum_creatinine,0.0006831767719897464
gender,0.0003415883859948732
poverty_income_ratio,0.0003415883859948732
platelet_count,0.0003415883859948732
mean_sbp,0.0001707941929974366
wbc_count,-0.0005123825789923097
