feature,importance
age,1.2722071983012038
total_cholesterol,0.30793203572084044
smoking_status,0.2620760406991778
poverty_income_ratio,0.17952554459239026
waist_circumference,0.16145250814743636
wbc_count,0.15232600248580852
education_level,0.1508754918428296
serum_creatinine,0.15062124066018032
physical_activity_level,0.13867349827901718
gender,0.12496513558049968
hba1c,0.10362464472958276
rdw,0.09366881070197983
serum_albumin,0.08887121694410803
alcohol_frequency,0.08639669025829119
bmi,0.08176986342572863
